taz_key,county,district,neighborhood,Shape_Length,Shape_Area
153,sfr,Visitacion Valley,Wilde Av,4029.325687,400721.4928
154,sfr,Visitacion Valley,Rutland and Sunnydale,3012.51619,380371.2194
155,sfr,Visitacion Valley,Visitacion Valley Playground,2805.068574,330983.1828
156,sfr,Visitacion Valley,Velasco,2086.266391,188208.363
157,sfr,Visitacion Valley,Sunnydale,2470.705312,276231.2836
158,sfr,Visitacion Valley,McLaren Park,7051.406782,1603483.518
159,sfr,Crocker Excelsior,Cordova,4029.980102,756809.2491
160,sfr,Crocker Excelsior,Persian and Moscow,2578.045984,399116.3406
161,sfr,Crocker Excelsior,Italy,2528.760099,335702.3496
162,sfr,Crocker Excelsior,Morse,2861.470827,369876.3148
163,sfr,Crocker Excelsior,Hanover,4071.403128,426280.5807
164,sfr,OMI,Outer Mission,5844.016902,778946.235
165,sfr,OMI,Balboa Park BART Station,3747.164486,747008.3856
166,sfr,OMI,Ingleside,4030.677188,819897.4324
167,sfr,OMI,Oceanview,3923.379971,770036.269
168,sfr,OMI,Merced Heights,5257.349921,1130029.573
169,sfr,OMI,St Francis Wood and Ingleside Heights,7075.425774,1875494.92
170,sfr,Twin Peaks and West of Twin Peaks,West Portal,5381.770255,1243274.591
171,sfr,Twin Peaks and West of Twin Peaks,Laguna Honda,3569.03799,516981.1549
172,sfr,Twin Peaks and West of Twin Peaks,Parkside,4682.863964,972597.3775
173,sfr,Twin Peaks and West of Twin Peaks,Golden Gate Heights,3834.809231,588082.0285
174,sfr,Twin Peaks and West of Twin Peaks,Grand View Park,3949.55893,753307.3505
175,sfr,Sunset District,Shopping District,2387.794919,350728.4725
176,sfr,Sunset District,19th Ave East,2424.834608,356955.2322
177,sfr,Sunset District,Judah and 23rd,3805.479089,879047.1978
178,sfr,Sunset District,Judah and 33rd,3701.163446,824190.131
179,sfr,Sunset District,Lawton and 40th St,4609.755583,940200.0112
180,sfr,Sunset District,Car Town,2454.870418,372195.9604
181,sfr,Sunset District,Noriega and 46th Ave,4867.765118,938179.7323
182,sfr,Sunset District,Taravel and 46th,4518.744248,1031204.748
183,sfr,Sunset District,Parkside,5081.802857,1147168.977
184,sfr,Sunset District,Parkside,4535.594924,1156655.416
185,sfr,Sunset District,Quintara and 23rd,4628.869314,1233690.814
186,sfr,Sunset District,Stern Grove,5242.410196,1510663.378
187,sfr,Southwest San Francisco,Merced Manor,5279.185026,878626.78
188,sfr,Southwest San Francisco,Stonestown and State University,4233.453362,945508.5484
189,sfr,Southwest San Francisco,Park Merced,4565.938735,813447.163
190,sfr,Southwest San Francisco,Zoo/Lake Merced/Golf Club,12421.37615,5692380.511
191,smt,Daly City,Westlake Pk,7214.454548,2030357.772
192,smt,Daly City,Westlake Shopping,4883.031824,557906.6825
193,smt,Daly City,Broadmoor E,6659.616676,1985927.031
194,smt,Daly City,Seton Med Ctr,5278.874178,1493663.755
195,smt,Daly City,Broadmoor W,6085.676396,957774.1206
196,smt,Daly City,Mussel Rock,11357.41772,2693509.606
197,smt,Daly City,Higate Dr N,4685.033419,724156.6303
198,smt,Daly City,Higate Dr S,4898.601293,819028.5003
199,smt,Daly City,Serramonte,5437.601333,1258049.582
200,smt,Daly City,Cemetaries,13152.34161,6699604.012
201,smt,Daly City,Colma BART,5513.741284,1093846.554
202,smt,Brisbane,Hillside,6188.979038,1345189.255
203,smt,Daly City,Original Daly City,3924.147544,767145.1534
204,smt,Daly City,Daly City BART,5286.9879,831975.4005
205,smt,Brisbane,Bellevue Av,5021.819426,928808.4166
206,smt,Brisbane,Southern Hills,8678.442251,2171941.433
207,smt,Brisbane,Cow Palace,5895.925911,1162347.097
208,smt,Brisbane,Bayshore and Brisbane,21818.83184,14469225.27
209,smt,South San Francisco,Sign Hill,9445.648419,4266758.103
210,smt,South San Francisco,Downtown N,3136.193549,480127.8157
211,smt,South San Francisco,Downtown,5778.823972,934526.7327
212,smt,South San Francisco,Oyster Point,31321.76692,9936375.606
213,smt,South San Francisco,Avalon,6899.647586,2698007.366
214,smt,South San Francisco,BART SW and Winston Manor,6518.044189,1855350.223
215,smt,South San Francisco,Chestnut,6000.176765,1077105.706
216,smt,South San Francisco,BART and Sunshine Gardens,7483.282067,1095599.058
217,smt,South San Francisco,BART W and  W Winston Manor,6265.015772,1167417.332
218,smt,South San Francisco,Gellert E,8449.925227,1204108.868
219,smt,Pacifica,Gellert W,5007.830266,941909.6508
220,smt,Pacifica,Sunset Ridge,7683.618881,1794990.755
221,smt,Pacifica,Fairmont,6011.897142,1229165.859
222,smt,Pacifica,Manor Beach,7523.969911,1358513.736
223,smt,Pacifica,Sharp Park,8521.738598,3537256.178
224,smt,Pacifica,Vallemar,14729.37855,7289800.592
225,smt,Pacifica,Shelter Cove,16856.22478,4496503.391
226,smt,Pacifica,Linde Mar,18217.10645,8004865.521
227,smt,Pacifica,Terra Nova Blvd,24018.62797,12230128.08
228,smt,Pacifica,SF Jail,4452.463339,1035442.369
229,smt,San Bruno,Skyline College,8214.292556,2105644.789
230,smt,South San Francisco,Westborough,5841.425838,1461916.448
231,smt,South San Francisco,Selick Pk,5653.32435,1278829.348
232,smt,San Bruno,Sellick Pk,7443.686328,1785985.17
233,smt,San Bruno,Crestmoor Canyon,7382.590772,2862337.081
234,smt,San Bruno,Tanforan and Bayhill,7639.004282,2293451.148
235,smt,San Bruno,Mills Park,3896.143207,894858.0282
236,smt,San Bruno,Crystal Springs,8090.974834,2006297.411
237,smt,San Bruno,Downtown and CalTrain,6860.547661,1118045.629
238,smt,San Bruno,Belle Air,8647.505574,1743290.887
239,smt,Millbrae,SFO,16076.73867,7849340.857
240,smt,Millbrae,BART and CalTrain Station,9999.368341,2022615.411
241,smt,Millbrae,Millbrae Meadows E,7271.328265,1614202.374
242,smt,Millbrae,Millbrae Meadows W,7882.823401,1439354.437
243,smt,Millbrae,Hillcrest,5357.595211,1103623.837
244,smt,Millbrae,Downtown,4494.083864,1033166.405
245,smt,Millbrae,Murchison,6364.493384,1545966.694
246,smt,Burlingame Hillsborough,Trousdale and Peninsula Hosp,16591.44479,4077746.509
247,smt,Burlingame Hillsborough,Hillsdale Dr,4571.48531,941398.713
248,smt,Burlingame Hillsborough,"Broadway, Vaillage and Bayfront",8709.864845,2674599.633
249,smt,Burlingame Hillsborough,Burlingame HS,12536.09389,2601303.215
250,smt,Burlingame Hillsborough,Terrace,5584.478943,1110824.573
251,smt,Burlingame Hillsborough,Burlingame,4813.307123,1098045.514
252,smt,Burlingame Hillsborough,Hillsborough,15231.06977,8499406.069
253,smt,San Mateo,San Mateo Park,5259.791454,1217921.639
254,smt,Burlingame Hillsborough,Hillsborough Park,20144.978,8010832.292
255,smt,San Mateo,Baywood Knolls,7112.858194,1416850.997
256,smt,San Mateo,Parrot Park,5871.623109,934381.6215
257,smt,San Mateo,Downtown,5346.838717,1021636.739
258,smt,San Mateo,North Central,3842.479685,773672.6139
259,smt,San Mateo,San Mateo HS,4425.650592,822338.3715
260,smt,San Mateo,Bowie Estate,4996.40143,1209281.582
261,smt,San Mateo,N Shoreview,13272.02095,2434085.926
262,smt,San Mateo,S Shoreview,6076.599368,1229648.264
263,smt,San Mateo,Horrall,3497.635849,591906.298
264,smt,San Mateo,Parkside,5850.604901,1069673.363
265,smt,Foster City Redwood Shores,Bridgepointe,7723.577797,1473367.651
266,smt,Foster City Redwood Shores,Central,14897.68749,3821781.279
267,smt,Foster City Redwood Shores,Gull Av,7273.851657,1051281.09
268,smt,Foster City Redwood Shores,Erckenbrack,6472.869035,929829.7374
269,smt,Foster City Redwood Shores,Marlin Pk,4799.013106,1068092.818
270,smt,Foster City Redwood Shores,Ketch,3186.855414,608459.0164
271,smt,Foster City Redwood Shores,Farragut,5087.125563,1154702.919
272,smt,Foster City Redwood Shores,Boothbay Pk,6992.600388,924338.2282
273,smt,Foster City Redwood Shores,Port Royal,8946.117408,1177839.315
274,smt,San Mateo,Los Prados,7724.967464,1637003.12
275,smt,San Mateo,Nesbit,9446.799937,1697969.482
276,smt,San Mateo,Lauriedale,3402.008005,509002.6673
277,smt,San Mateo,San Mateo Village,5816.417941,1249484.397
278,smt,San Mateo,Bay Meadows,6351.069128,1966759.143
279,smt,San Mateo,Hayward Park E,5383.658044,1333066.174
280,smt,San Mateo,Hayward Park W,4590.007426,1121338.597
281,smt,San Mateo,Beresford Manor,5301.063699,1129700.709
282,smt,San Mateo,Beresford,6645.129957,1980224.196
283,smt,San Mateo,The Lanes,5483.102402,1270944.422
284,smt,San Mateo,Hillsdale,6216.241026,1007890.65
285,smt,San Mateo,Laurel,5623.879795,1263153.139
286,smt,San Mateo,Belle Monte,7089.232315,2515799.867
287,smt,San Mateo,Belmont W,6471.914837,1346880.765
288,smt,San Mateo,Ralston Av S,12213.30549,6047389.724
289,smt,San Mateo,Ralston Av N,8897.960796,2901653.462
290,smt,San Mateo,Sugarloaf,8329.817207,2254778.293
291,smt,San Mateo,Bayridge,11672.41738,2860367.043
292,smt,San Mateo,Highlands,8874.710764,3382420.13
293,smt,Southwest San Mateo County,Montara Moss Beach,37477.8105,20342221.72
294,smt,Southwest San Mateo County,El Granada,30199.36021,24055400.93
295,smt,Southwest San Mateo County,Skyline,61625.67969,89697234.39
296,smt,Southwest San Mateo County,Half Moon Bay,60704.79746,112633309.5
297,smt,Southwest San Mateo County,La Honda,129734.2975,468447993.1
298,smt,Atherton Portola Valley,Portola Valley,39241.04097,40224576.06
299,smt,Atherton Portola Valley,Phleger,44769.90512,45065578.71
300,smt,Atherton Portola Valley,Woodside Heights,21016.49149,9462287.129
301,smt,Redwood City,Farmhill Rd,10456.80276,3329326.576
302,smt,Redwood City,Emerald Hills,15181.28098,5443086.772
303,smt,Redwood City,Sequoia Hospital,8107.101644,2046936.123
304,smt,San Carlos,Palomar Park,13237.04347,5914062.188
305,smt,San Carlos,Big Canyon Pk,5341.768779,996236.4414
306,smt,San Carlos,Highlands Pk,10496.5284,2392165.019
307,smt,San Carlos,Arguello Pk,7691.140809,1921072.218
308,smt,San Carlos,Alameda De Las Pulgas N,5589.960873,1062769.491
309,smt,San Carlos,Downtown,8707.76567,2027003.038
310,smt,San Carlos,East,10297.84936,3319998.278
311,smt,Foster City Redwood Shores,Redwood Shores W,9914.536709,3460717.757
312,smt,Foster City Redwood Shores,Redwood Shores E,14547.48607,3771348.706
313,smt,Redwood City,Bair Island and Rewdood Port,52244.45619,25522040.37
314,smt,Redwood City,Broadway and Woodside,7397.525949,1437033.126
315,smt,Redwood City,Downtown,9926.585256,1714817.01
316,smt,Redwood City,Cordilleras Addition,3383.211772,502371.5911
317,smt,Redwood City,Sequoia,6587.028528,1437537.936
318,smt,San Carlos,White Oaks,4329.221596,966961.194
319,smt,Redwood City,Alameda De Las Pulgas S,6599.151466,1201250.901
320,smt,Redwood City,Valota Rd,5955.646697,1366633.631
321,smt,Atherton Portola Valley,Woodside Plaza,4449.726117,1127870.897
322,smt,Atherton Portola Valley,Rutherford Av,6940.688565,1750809.023
323,smt,Redwood City,Redwood Junction S,5202.617663,1126244.396
324,smt,Redwood City,Palm Park,3618.738519,535995.2638
325,smt,Redwood City,Central,5102.731256,1090976.738
326,smt,Redwood City,Redwood Junction N,4834.523935,587360.7428
327,smt,Redwood City,Dumbarton,4813.998343,938882.5135
328,smt,Redwood City,N Fair Oaks,5596.656523,1067558.833
329,smt,Redwood City,Trailer Village,6936.101466,1202708.626
330,smt,Redwood City,Page St,4735.239016,1036028.617
331,smt,Southeastern San Mateo County,Belle Haven,27536.5111,10216943.48
332,smt,Southeastern San Mateo County,Ravenswood,11973.17481,3951693.67
333,smt,Southeastern San Mateo County,East Palo Alto E,8849.194638,3252033.251
334,smt,Southeastern San Mateo County,East Palo Alto W,5486.261555,1265845.912
335,smt,Southeastern San Mateo County,101 and University Av,6730.874203,1043780.127
336,smt,Southeastern San Mateo County,Willow Oaks,5780.404297,1358869.757
337,smt,Southeastern San Mateo County,Saint Patrick's,5671.532442,1414716.292
338,smt,Southeastern San Mateo County,Flood Pk,6798.960424,877569.6418
339,smt,Atherton Portola Valley,Lindenwood,10534.59599,4189466.547
340,smt,Menlo Park,CalTrain Station and SRI,8999.453584,2005720.938
341,smt,Menlo Park,Downtown,5563.059422,1293380.011
342,smt,Atherton Portola Valley,West Atherton,16312.77925,8886240.974
343,smt,Menlo Park,Santa Cruz and San Mateo,6847.463418,1274554.798
344,smt,Menlo Park,West Menlo Park N,6737.333236,1651837.959
345,smt,Menlo Park,West Menlo Park S,8422.157051,1603219.377
346,smt,Atherton Portola Valley,Sharon Heights,12205.9663,4522493.685
347,scl,Palo Alto,Hills,83151.09913,135381275
348,scl,Palo Alto,Coyote Hill,9971.972646,2960965.641
349,scl,Palo Alto,Business Park,10466.64274,2882149.094
350,scl,Palo Alto,Subdivison Housing,7134.641755,2133011.2
351,scl,Palo Alto,HS/California Ave/College Ave,7432.367496,1477738.804
352,scl,Palo Alto,Housing Towers,1762.109112,181105.0078
353,scl,Palo Alto,Esconiddio Village,2869.850778,495866.0484
354,scl,Palo Alto,East Campus,6851.326014,2089205.493
355,scl,Palo Alto,Mall/Hospital/West Campus,11779.62343,4130965.857
356,scl,Palo Alto,Downtown,6641.147809,1949268.683
357,scl,Palo Alto,Northeast,6796.29124,2019883.044
358,scl,Palo Alto,101 and Embarcadero West,6344.241417,2193760.591
359,scl,Palo Alto,North California Ave,5248.898127,1535646.491
360,scl,Palo Alto,Hoover Park,5355.898349,1651339.028
361,scl,Palo Alto,Greer Pk,5685.154158,2012210.115
362,scl,Palo Alto,Ramos Pk,7510.443062,2231437.969
363,scl,Palo Alto,Mitchell Pk,3988.300894,1012092.63
364,scl,Palo Alto,Greenmeadow,3915.218712,918646.6298
365,scl,Mountain View,Del Medio,3429.871529,649725.6938
366,scl,Palo Alto,Park Blvd,6933.360831,1393095.309
367,scl,Palo Alto,Alta Mesa,6576.975002,2111082.917
368,scl,Mountain View,Los Altos Hills,16999.29222,9136337.908
369,scl,Mountain View,Greater Miranda,7725.693995,2569996.164
370,scl,Mountain View,Downtown Los Altos,7860.215496,2316615.122
371,scl,Mountain View,Los Altos N,6935.288841,1754995.276
372,scl,Mountain View,San Antonio Center,4113.985334,1036406.97
373,scl,Mountain View,Monta Loma,4412.611591,1067577.996
374,scl,Mountain View,Old Middlefield,6247.704357,1593495.023
375,scl,Mountain View,Sierra Vista Av,3236.185749,577820.6605
376,scl,Mountain View,Rex Manor,5876.033048,1556910.57
377,scl,Mountain View,CalTrain N,5951.632335,1572388.732
378,scl,Mountain View,Downtown,5081.09163,1025581.521
379,scl,Mountain View,Castro Pk,4059.004736,974796.005
380,scl,Mountain View,Rengstorff Pk,2968.223819,516082.5297
381,scl,Mountain View,McKelvey Pk,9461.004955,1748219.184
382,scl,Mountain View,Bubb Pk,3979.441479,922044.0047
383,scl,Mountain View,El Camino Hospital,5336.214482,1375287.891
384,scl,Mountain View,Los Altos E,11892.77287,2633600.855
385,scl,Mountain View,Loyola,9417.561331,2633880.37
386,scl,Mountain View,Montclaire,6172.696708,2034770.768
387,scl,Mountain View,Grant Pk,6758.081144,1885828.748
388,scl,Mountain View,Loyola Corners,9953.162392,3522657.324
389,scl,Mountain View,Cooper Pk,8507.121835,2137732.55
390,scl,Mountain View,Landels School Park,4549.180294,1037551.284
391,scl,Sunnyvale,Sylvan Pk,7957.393954,1709949.916
392,scl,Sunnyvale,Acalanes Dr,3045.746611,431376.1209
393,scl,Sunnyvale,Leota Av,4121.379241,972165.8865
394,scl,Sunnyvale,Downtown West,4710.518486,1304178.109
395,scl,Sunnyvale,CalTrain NW,6126.890826,1658917.215
396,scl,Sunnyvale,Sunnyvale Golf Course,6120.329118,1496314.302
397,scl,Mountain View,Whisman Station,5131.297212,1240620.11
398,scl,Mountain View,E Dana St,4417.965956,894188.4594
399,scl,Mountain View,Middlefield Station,6109.250833,1272815.795
400,scl,Mountain View,Whisman Pk,4194.716883,1044388.259
401,scl,Mountain View,Shoreline,32131.41445,19577257.68
402,scl,Mountain View,Moffet Field,12101.41098,6353138.726
403,scl,Sunnyvale,Borregas,9900.750246,4429783.126
404,scl,North San Jose,Alviso,49194.89543,39450915.22
405,scl,North San Jose,N McCarthy Blvd,25643.12334,13267981.21
406,scl,North San Jose,I880/Milpitas Station,8549.747099,3046869.026
407,scl,North San Jose,Brokaw,10284.29295,3989549.559
408,scl,North San Jose,Component,6648.205029,2423950.422
409,scl,North San Jose,Plumeria,6420.691001,2141175.481
410,scl,North San Jose,Cisco South,7487.45588,2303097.559
411,scl,North San Jose,Cisco Station,5424.049668,1128412.328
412,scl,North San Jose,Tasman and 1st,9698.560117,4110627.71
413,scl,Santa Clara,Agnews,5156.8022,1422955.693
414,scl,Santa Clara,Aldo,7215.08175,2996605.436
415,scl,Santa Clara,Great Am Levi Stadium,10278.56676,4606976.373
416,scl,Santa Clara,Fairway Glen,12591.42387,3347592.77
417,scl,Santa Clara,Old Ironsides,4085.011635,930492.5058
418,scl,Sunnyvale,Reamwood Station,4840.014868,980687.6083
419,scl,Sunnyvale,Sandia,3802.562617,837272.8197
420,scl,Sunnyvale,Lakewood Pk,4279.063117,885078.147
421,scl,Sunnyvale,Vienna Station,6581.258733,1381146.405
422,scl,Sunnyvale,Tasman and Morse,5798.418208,1380182.308
423,scl,Sunnyvale,San Miguel,4476.726884,942072.509
424,scl,Sunnyvale,Columbia Pk,5079.313482,1561358.657
